station_name,latitude,longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
900 W Harrison,41.874675,-87.650019,-27.0,-9.0,-17.0,3.0,1.0,11.0,43.0,143.0,323.0,258.0,178.0,35.0,-1.0,46.0,-72.0,-113.0,-215.0,-470.0,-216.0,-51.0,-103.0,-42.0,-18.0,-14.0
Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,27.0,13.0,9.0,-82.0,-9.0,-80.0,-230.0,-256.0,-292.0,-144.0,-47.0,-32.0,-21.0,-69.0,43.0,86.0,158.0,335.0,83.0,113.0,61.0,12.0,32.0,14.0
Aberdeen St & Madison St,41.881487,-87.654752,11.0,16.0,2.0,-7.0,-81.0,-211.0,-343.0,-370.0,-450.0,13.0,-67.0,-130.0,-101.0,142.0,21.0,58.0,197.0,433.0,206.0,49.0,-8.0,20.0,50.0,13.0
Ada St & Washington Blvd,41.88283,-87.661206,19.0,-4.0,5.0,-7.0,-3.0,-8.0,-36.0,-409.0,-376.0,-136.0,-48.0,-52.0,-47.0,35.0,15.0,-17.0,107.0,808.0,266.0,39.0,57.0,60.0,-15.0,4.0
Adler Planetarium,41.866095,-87.607267,-5.0,-9.0,1.0,2.0,1.0,4.0,-5.0,-4.0,59.0,202.0,274.0,279.0,110.0,-17.0,-193.0,-260.0,-372.0,-112.0,161.0,42.0,47.0,8.0,-140.0,-83.0
Ashland Ave & 13th St,41.865234,-87.666507,-8.0,0.0,0.0,1.0,9.0,0.0,1.0,8.0,102.0,69.0,15.0,11.0,-14.0,-38.0,6.0,-16.0,-67.0,-108.0,-57.0,-24.0,-28.0,-8.0,8.0,-9.0
Ashland Ave & 21st St,41.85381,-87.665897,2.0,20.0,13.0,5.0,-8.0,-2.0,-5.0,-17.0,-27.0,-11.0,-13.0,-5.0,-24.0,-3.0,4.0,13.0,35.0,10.0,10.0,6.0,-4.0,18.0,28.0,7.0
Ashland Ave & Augusta Blvd,41.899643,-87.6677,44.0,37.0,15.0,13.0,-61.0,-125.0,-96.0,-245.0,-593.0,-149.0,-90.0,-58.0,-87.0,-26.0,24.0,28.0,224.0,536.0,273.0,123.0,124.0,79.0,71.0,68.0
Ashland Ave & Belle Plaine Ave,41.956061,-87.668869,22.0,8.0,-5.0,-9.0,2.0,-4.0,-61.0,-276.0,-170.0,-76.0,-67.0,-25.0,-56.0,-28.0,-25.0,-32.0,71.0,290.0,148.0,45.0,67.0,83.0,77.0,27.0
Ashland Ave & Blackhawk St,41.907066,-87.667252,51.0,63.0,3.0,10.0,6.0,-119.0,-113.0,-393.0,-372.0,-142.0,-113.0,-74.0,6.0,-51.0,-25.0,100.0,217.0,503.0,348.0,170.0,73.0,74.0,117.0,80.0
Ashland Ave & Chicago Ave,41.895966,-87.667747,35.0,34.0,-7.0,2.0,-21.0,-110.0,-122.0,-329.0,-396.0,-182.0,-60.0,-95.0,-17.0,-13.0,26.0,21.0,75.0,493.0,272.0,75.0,161.0,126.0,109.0,63.0
Ashland Ave & Division St,41.90345,-87.667747,-31.0,-9.0,14.0,-5.0,17.0,106.0,102.0,102.0,122.0,104.0,-101.0,-128.0,-106.0,-83.0,-113.0,-87.0,-236.0,-357.0,-316.0,-107.0,-121.0,-122.0,-152.0,-61.0
Ashland Ave & Grace St,41.950687,-87.6687,40.0,19.0,18.0,3.0,-17.0,-73.0,-226.0,-194.0,-377.0,-143.0,-89.0,-53.0,-44.0,-76.0,-26.0,25.0,78.0,284.0,320.0,187.0,138.0,48.0,7.0,32.0
Ashland Ave & Grand Ave,41.891072,-87.666611,3.0,4.0,-3.0,-3.0,-2.0,2.0,-31.0,-171.0,-405.0,-107.0,-52.0,-84.0,-49.0,-39.0,-3.0,20.0,61.0,99.0,149.0,86.0,48.0,18.0,31.0,22.0
Ashland Ave & Lake St,41.88541,-87.66732,-13.0,-19.0,3.0,2.0,0.0,8.0,34.0,151.0,193.0,66.0,-4.0,-10.0,3.0,27.0,53.0,28.0,-101.0,-159.0,-126.0,-64.0,-49.0,-160.0,-132.0,-22.0
Ashland Ave & Wellington Ave,41.936083,-87.669807,8.0,1.0,1.0,4.0,2.0,11.0,68.0,-77.0,-207.0,31.0,-23.0,-23.0,7.0,-3.0,28.0,111.0,24.0,103.0,87.0,38.0,-16.0,-57.0,1.0,7.0
Ashland Ave & Wrightwood Ave,41.92883,-87.668507,11.0,29.0,9.0,8.0,4.0,-66.0,-135.0,-168.0,-335.0,-84.0,-37.0,-59.0,-32.0,-27.0,-17.0,41.0,155.0,138.0,319.0,89.0,54.0,60.0,78.0,15.0
Bissell St & Armitage Ave,41.91844,-87.65222,13.0,-24.0,-4.0,-7.0,-3.0,-9.0,210.0,78.0,219.0,-45.0,21.0,-14.0,28.0,22.0,-62.0,17.0,-42.0,59.0,5.0,70.0,124.0,38.0,17.0,-4.0
Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,-2.0,1.0,4.0,5.0,1.0,-5.0,-36.0,-46.0,-49.0,-94.0,-74.0,-78.0,-86.0,-35.0,10.0,26.0,27.0,73.0,118.0,92.0,53.0,29.0,3.0,24.0
Blue Island Ave & 18th St,41.857556,-87.661535,76.0,15.0,7.0,6.0,12.0,-9.0,-279.0,-188.0,-349.0,-107.0,-95.0,-48.0,-31.0,-9.0,-55.0,-30.0,277.0,317.0,246.0,116.0,49.0,96.0,50.0,17.0
Broadway & Argyle St,41.972972,-87.659637,-12.0,7.0,18.0,19.0,8.0,-5.0,-11.0,0.0,-38.0,10.0,-27.0,-44.0,-14.0,-44.0,-47.0,44.0,-2.0,24.0,86.0,41.0,61.0,22.0,19.0,70.0
Broadway & Barry Ave,41.937725,-87.644095,44.0,41.0,10.0,17.0,-5.0,-16.0,-146.0,-351.0,-492.0,-256.0,-119.0,-80.0,-48.0,11.0,2.0,52.0,163.0,419.0,545.0,299.0,196.0,154.0,96.0,48.0
